Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
13-Oct-22,2022,de Havilland Canada DHC-3T Vazar Turbine Otter,de Havilland Canada,C-FDDX,True North Airways,0,"Lac PLuto, QC",w/o,Pilot Error,0,0
13-Oct-22,2022,Cessna 208B Grand Caravan,Cessna,OB-2228,SAETA Peru,0,near Jeberos,w/o,Undetermined,0,0
15-Oct-22,2022,Boeing KC-46A Pegasus,Boeing,15-46069,"USAF, 305th AMW",0,"~172 km ESE of St Lunaire-Griquet, NL, Canada",sub,Mechanical Failure,0,0
18-Oct-22,2022,Beechcraft 99 Airliner,Beechcraft,C6-OFM,Flamingo Air Charter,0,Black Point Airstrip (MYEB),sub,Mechanical Failure,0,0
19-Oct-22,2022,de Havilland Canada DHC-8-314 Dash 8,de Havilland Canada,C-GJYZ,Perimeter Aviation,0,"Sandy Lake Airport, ON (ZSJ)",sub,Pilot Error,0,0
22-Oct-22,2022,Boeing 737-8AS (WL),Boeing,EI-EKJ,Ryanair,0,Agadir-Al Massira International Airport (AGA/GMAA),non,Miscellaneous,0,0
23-Oct-22,2022,Airbus A330-322,Airbus,HL7525,Korean Air,0,Mactan-Cebu International Airport (CEB),sub,Mechanical Failure,0,0
25-Oct-22,2022,Cessna 208B Grand Caravan,Cessna,PK-RVA,Reven Global Transpor,0,Ilaga Airport (ILA/WABL),sub,Undetermined,0,0
28-Oct-22,2022,Embraer EMB-110C Bandeirante,Embraer,FAU-583,Fuerza Aérea Uruguaya - FAU,0,Montevideo-Carrasco Airport (MVD),sub,Mechanical Failure,0,0
2-Nov-22,2022,Airbus A319-132,Airbus,N519NK,Spirit Airlines,0,"near New Orleans, LA",non,Pilot Error,0,0
3-Nov-22,2022,Eclipse 550,Eclipse,N150NE,Elite Flight Travel,0,"Mesa-Falcon Field, AZ (MSC)",sub,Maintenance ,0,0
7-Nov-22,2022,ATR 72-600 (72-212A),ATR,JA06JC,Japan Air Commuter,0,Kagoshima Airport (KOJ/RJFK),non,Miscellaneous,0,0
9-Nov-22,2022,Boeing 737-7H4 (WL),Boeing,N963WN,Southwest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,Miscellaneous,0,0
9-Nov-22,2022,Boeing 737-823 (WL),Boeing,N909NN,American Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,Miscellaneous,0,0
10-Nov-22,2022,Boeing 737 MAX 8,Boeing,N316SE,American Airlines,0,"SE of Miami, FL",non,Turbulence,0,0
14-Nov-22,2022,Antonov An-2,Antonov,CU-A1885,Risk Mondial Aviation & Recovery,0,"W of Miami-Dade County, FL",sub,Pilot Error,0,0
15-Nov-22,2022,Honda HA-420 HondaJet,Honda,N789RJ,Andersen Air LLC,0,"Salt Lake City International Airport, UT (SLC)",sub,Pilot Error,0,0
15-Nov-22,2022,Fairchild SA227-AT Expediter,Fairchild,N247DH,Ameriflight,0,"Pewaukee, WI",sub,Pilot Error,0,0
17-Nov-22,2022,Embraer EMB-110P1 Bandeirante,Embraer,C6-CAB,LeAir Charter Services,0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min,Mechanical Failure,0,0
17-Nov-22,2022,Beechcraft 1900D,Beechcraft,VH-NYA,Penjet Pty Ltd,0,"Fortnum Airport (YFOR), Fortnum, WA",sub,Miscellaneous,0,0
19-Nov-22,2022,Airbus A320-211,Airbus,N330NW,Delta Air Lines,0,"near Omaha-Eppley Airfield (OMA/KOMA), Omaha, NE",sub,Bird Strike,0,0
20-Nov-22,2022,Boeing 737-4Q8 (SF),Boeing,TF-BBM,"Bluebird Cargo, opf ASL Airlines Belgium",0,Paris-Charles de Gaulle Airport (CDG/LFPG),sub,Mechanical Failure,0,0
22-Nov-22,2022,Beechcraft 200 Super King Air,Beechcraft,N968T,Hollan Air LLC,0,"near Del Rio, TX",sub,Pilot Error,0,0
25-Nov-22,2022,Cirrus SF50 Vision Jet G2,Cirrus,N15VJ,Verijet,0,"1,6 km SW of Indianapolis Regional Airport, IN",sub,Mechanical Failure,0,0
28-Nov-22,2022,Airbus A330-243,Airbus,PR-AIY,Azul Linhas Aéreas Brasileiras,0,"near Manaus, AM",non,Miscellaneous,0,0
29-Nov-22,2022,Boeing 737-7H4 (WL),Boeing,N946WN,Southwest Airlines,0,"near Denver, CO",non,Turbulence,0,0
29-Nov-22,2022,Learjet 45,Learjet,N988MC,Jett Aircraft,0,"Batesville Regional Airport, AR (BVX)",sub,Pilot Error,0,0
30-Nov-22,2022,Learjet 36,Learjet,N12FN,Aery Aviation,0,"Newport News/Williamsburg International Airport, VA (PHF)",sub,Mechanical Failure,0,0
1-Dec-22,2022,Learjet 35A,Learjet,N979RF,"REVA, Inc.",0,Guantánamo Naval Air Station (NBW),sub,Pilot Error,0,0
3-Dec-22,2022,Embraer ERJ-175LR,Embraer,N85356,Mesa Airlines,0,"Taneytown, MD",non,Turbulence,0,0
7-Dec-22,2022,British Aerospace BAe-146-200,BAE,CC-ACO,Antarctic Airways,0,Iquique-Diego Aracena International Airport (IQQ/SCDA),sub,Mechanical Failure,0,0
8-Dec-22,2022,Boeing 767-322ER (WL),Boeing,N649UA,United Airlines,0,"near Albany, NJ",non,Turbulence,0,0
15-Dec-22,2022,Swearingen SA226-TC Metro II,Swearingen,N398KL,Key Lime Air,0,"Wichita Dwight D. Eisenhower National Airport, KS (ICT)",sub,Undetermined,0,0
17-Dec-22,2022,de Havilland Canada DHC-8-402QPF Dash 8,de Havilland Canada,5Y-VVY,Blue Bird Aviation,0,Abudwak Airstrip,sub,Undetermined,0,0
18-Dec-22,2022,Airbus A330-243,Airbus,N393HA,Hawaiian Airlines,0,"65 nm NNE of Maui, HI",min,Pilot Error,0,0
18-Dec-22,2022,Boeing 737-824 (WL),Boeing,N87531,United Airlines,0,"near Cobán, Alta Verapaz",non,Miscellaneous,0,0
22-Dec-22,2022,Boeing 787-9 Dreamliner,Boeing,C-FVNF,Air Canada,0,45 nm E of Tokyo-Narita Airport (NRT/RJAA),unk,Turbulence,0,0
23-Dec-22,2022,de Havilland Canada DHC-6 Twin Otter 300,de Havilland Canada,PK-OTY,Rimbun Air,0,Moanemani Airport (ONI),sub,Undetermined,0,0
24-Dec-22,2022,Gulfstream GIV-X (G450),Gulfstream,N456FX,Flexjet LLC,0,"Miami, Florida",non,Turbulence,0,0
26-Dec-22,2022,Boeing 737-860 (WL),Boeing,ET-APL,Ethiopian Airlines,0,Mogadishu Aden Adde International Airport (MGQ/HCMM),sub,Bird Strike,0,0
26-Dec-22,2022,Boeing 737 MAX 8-200,Boeing,EI-HEY,Ryanair,0,Bremen Airport (BRE/EDDW),non,Miscellaneous,0,0
26-Dec-22,2022,Boeing 737-3Z0,Boeing,C5-MAB,"Tarco Aviation, lsf Mid Africa Aviation",0,Mogadishu Aden Adde International Airport (MGQ),sub,Mechanical Failure,0,0
27-Dec-22,2022,Embraer EMB-505 Phenom 300,Embraer,N16DF,Skystallion LLC,0,"Hawthorne Airport, CA (HHR)",sub,Pilot Error,0,0
31-Dec-22,2022,Cessna 208B Grand Caravan,Cessna,5X-GBR,BAR Aviation,0,Mweya Airport (HUMW),w/o,Pilot Error,0,0
1-Jan-23,2023,Boeing 737 MAX 8,Boeing,C-FLRS,Flair Airlines,0,"Kitchener-Region of Waterloo International Airport, ON (YKF/CYKF)",sub,Miscellaneous,0,0
2-Jan-23,2023,Bombardier CRJ-900LR,Bombardier,N928XJ,"Delta Connection, opb Endeavor Air",0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub,Pilot Error,0,0
2-Jan-23,2023,Airbus A330-202,Airbus,EI-EJM,ITA Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",min,Pilot Error,0,0
2-Jan-23,2023,Boeing 737-8K2 (WL),Boeing,PH-HXJ,Transavia Airlines,0,Rotterdam/The Hague Airport (RTM/EHRD),sub,Miscellaneous,0,0
3-Jan-23,2023,Boeing 767-300F,Boeing,N496MM,"Amerijet International, lst Maersk Air Cargo",0,near Seoul-Incheon International Airport (ICN/RKSI),min,Mechanical Failure,0,0
7-Jan-23,2023,Airbus A320-232 (WL),Airbus,JA14JJ,JetStar Japan,0,Nagoya/Chubu Centrair International Airport (NGO/RJGG),non,Miscellaneous,0,0
7-Jan-23,2023,Boeing 737-846 (WL),Boeing,JA307J,Japan Airlines (JAL),0,E of Miyazaki,non,Miscellaneous,0,0
11-Jan-23,2023,Antonov An-2R,Antonov,RA-17789,Stavropol City Aviation Sports Club,0,"near Novomaryevskaya, Stavropol Region",w/o,Miscellaneous,0,0
13-Jan-23,2023,Cessna 550 Citation II,Cessna,YV2166,Air Master AP,0,Charallave-Óscar Machado Zuloaga Airport (SVCS),sub,Miscellaneous,0,0
16-Jan-23,2023,Learjet 35A,Learjet,D-CGFC,GFD,0,E of Hohn Air Base (ETNH),min,Mechanical Failure,0,0
16-Jan-23,2023,Cessna 208B Super Cargomaster,Cessna,N236KA,Kamaka Air,0,"3,6 km WSW of Molokai/Kaunakakai Airport, HI (MKK)",sub,Pilot Error,0,0
18-Jan-23,2023,Beechcraft B200 King Air,Beechcraft,N200EJ,Lynch Flying Service Inc,0,"Poplar Municipal Airport, MT (PO1)",sub,Pilot Error,0,0
21-Jan-23,2023,Boeing 737-8AS (WL),Boeing,9H-QDU,Ryanair,0,Niederrhein/Weeze Airport (NRN/EDLV),non,Miscellaneous,0,0
22-Jan-23,2023,Airbus A350-1041,Airbus,G-XWBL,British Airways,0,over Canary Islands,non,Turbulence,0,0
23-Jan-23,2023,de Havilland Canada DHC-6 Twin Otter 300,de Havilland Canada,VP-FBC,British Antarctic Survey,0,Mount Lymburner,unk,Pilot Error,0,0
24-Jan-23,2023,Cessna 551 Citation II/SP,Cessna,N1252D,BoneDoc Aviation LLC,0,"Joplin Regional Airport (JLN/KJLN), Joplin, MO",sub,Mechanical Failure,0,0
25-Jan-23,2023,Boeing 767-381ER (BCF),Boeing,JA603A,All Nippon Airways - ANA,0,Tokyo/Narita International Airport (NRT/RJAA),sub,Miscellaneous,0,0
26-Jan-23,2023,Beechcraft 200 Super King Air,Beechcraft,,,0,"10.5 nm NNE of Southport Airport, QLD (SHQ/YSPT)",w/o,Miscellaneous,0,0
27-Jan-23,2023,Cessna 560 Citation Encore,Cessna,C-FYMM,Chartright Air,0,"40 nm S of Toronto, ON",sub,Maintenance ,0,0
27-Jan-23,2023,Let L-410UVP-E20,Let,EY-473,Fly Air Africa Aviation,0,NW of Juba Airport (JUB),w/o,Mechanical Failure,0,0
5-Feb-23,2023,Learjet 60,Learjet,N357WP,Hera Flight,0,North Eleuthera International Airport (ELH/MYEH),sub,Pilot Error,0,0
6-Feb-23,2023,Boeing 737-3H4 (WL),Boeing,N619SW,Coulson Aviation,0,"Fitzgerald River National Park, WA",w/o,Pilot Error,0,0
8-Feb-23,2023,Cirrus SF50 Vision Jet G2,Cirrus,N426SJ,"Mag Aviation, LLC",0,"Waukesha Airport, WI (UES)",sub,Pilot Error,0,0
9-Feb-23,2023,Boeing 737-406 (SF),Boeing,5N-OTT,Allied Air,0,Brazzaville-Maya Maya Airport (BZV/FCBB),sub,Mechanical Failure,0,0
10-Feb-23,2023,Boeing 767-332ER (WL),Boeing,N197DN,Delta Air Lines,0,near Edinburgh Airport (EDI/EGPH),min,Mechanical Failure,0,0
10-Feb-23,2023,Cessna 208B Super Cargomaster,Cessna,N9634B,SkyDive Mexico,0,San José Vista Hermosa,sub,Mechanical Failure,0,0
10-Feb-23,2023,Cessna 208B Supervan 900,Cessna,P2-HFA,Helifix - PNG,0,Eliptamin Airport (EPT),sub,Pilot Error,0,0
10-Feb-23,2023,Boeing 737-823 (WL),Boeing,N944AN,American Airlines,0,"Rushville, IN",non,Turbulence,0,0
11-Feb-23,2023,Learjet 55,Learjet,N600C,1982-047 LLC,0,"Rochester-Greater Rochester International Airport, NY (ROC/KROC)",sub,Pilot Error,0,0
13-Feb-23,2023,Britten-Norman BN-2B-20 Islander,Britten-Norman,PJ-WEB,Windward Express Airways,0,Saba-Juancho E. Yrausquin Airport (SAB),sub,Turbulence,0,0
16-Feb-23,2023,Airbus A319-132,Airbus,N505NK,Spirit Airlines,0,"N of New Orleans, LA",non,Turbulence,0,0
16-Feb-23,2023,Cessna 208 Cargomaster,Cessna,CX-MAX,Aeromás,0,"near Berisso, BA",w/o,Mechanical Failure,0,0
17-Feb-23,2023,Honda HA-420 HondaJet,Honda,N14QB,Haedo Air LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",sub,Pilot Error,0,0
20-Feb-23,2023,Fokker 70,Fokker,P2-ANT,Air Niugini,0,near Port Moresby,non,Pilot Error,0,0
22-Feb-23,2023,Bombardier CRJ-900LR,Bombardier,N954LR,"Mesa Airlines, opf American Eagle",0,"Hollywood Burbank Airport (BUR/KBUR), Burbank, CA",non,Miscellaneous,0,0
24-Feb-23,2023,Embraer ERJ-190AR,Embraer,N337JB,Jetblue Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",non,Maintenance ,0,0
2-Mar-23,2023,Airbus A330-941,Airbus,D-ANRA,Condor Flugdienst,0,near Seychelles,min,Turbulence,0,0
2-Mar-23,2023,de Havilland Canada DHC-8-402Q Dash 8,de Havilland Canada,C-GVEN,WestJet Encore,0,near Kelowna International Airport (YLW/CYLW),min,Mechanical Failure,0,0
2-Mar-23,2023,Airbus A320-251N,Airbus,N366FR,Frontier Airlines,0,"NE of Dallas, TX",non,Turbulence,0,0
5-Mar-23,2023,Honda HA-420 HondaJet Elite,Honda,N118CX,Nesama LLC dba Volato,0,"Buena Vista-Central Colorado Regional Airport (AEJ/KAEJ), CO",sub,Pilot Error,0,0
8-Mar-23,2023,Boeing C-32A (757-2G4),Boeing,98-0001,US Air Force (USAF),0,Amman-Queen Alia International Airport (AMM/OJAI),sub,Miscellaneous,0,0
21-Mar-23,2023,Boeing 777-224ER,Boeing,N79011,United Airlines,0,"near San Francisco International Airport, CA (SFO/KSFO)",non,Turbulence,0,0
22-Mar-23,2023,Airbus A320-232,Airbus,N1902U,United Airlines,0,"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)",sub,Pilot Error,0,0
22-Mar-23,2023,Boeing 777-28EER,Boeing,HL8254,Asiana Airlines,0,near Seoul,non,Turbulence,0,0
24-Mar-23,2023,McDonnell Douglas MD-88 (SF),Boeing,N834US,USA Jet Airlines,0,Saltillo-Plan de Guadalupe International Airport (SLW/MMIO),sub,Pilot Error,0,0
27-Mar-23,2023,Cessna 550 Citation II,Cessna,N550DW,Xceed Management Group LLC,0,"Oklahoma City-Wiley Post Airport, OK (PWA)",sub,Pilot Error,0,0
30-Mar-23,2023,Cessna 525B CitationJet CJ3,Cessna,N869AC,Allegis Corp,0,"Gulf of Mexico, near Tampa, FL",sub,Undetermined,0,0
1-Apr-23,2023,Cessna 750 Citation X,Cessna,N85AV,Discovery Jets,0,"Belmar/Farmingdale-Monmouth Executive Airport, NJ (BLM)",sub,Pilot Error,0,0
6-Apr-23,2023,Cessna 550 Citation II,Cessna,C-FHLG,FLYGTA Airlines Inc.,0,"278 km N of Southern Pines, NC",sub,Miscellaneous,0,0
9-Apr-23,2023,Boeing 737-8AS (WL),Boeing,EI-DHH,Ryanair,0,Dublin Airport (DUB/EIDW),sub,Pilot Error,0,0
13-Apr-23,2023,Boeing 777-31HER,Boeing,A6-EGH,Emirates,0,"Miami International Airport, FL (MIA/KMIA)",sub,Miscellaneous,0,0
13-Apr-23,2023,Airbus A330-243,Airbus,C-GUBL,Air Transat,0,"Miami International Airport, FL (MIA/KMIA)",sub,Miscellaneous,0,0
14-Apr-23,2023,British Aerospace 3112 Jetstream 31,BAE,C-FCPE,Northwestern Air,0,"Fort Smith Airport, NT (YSM)",sub,Mechanical Failure,0,0
15-Apr-23,2023,Boeing 737-86Q (WL),Boeing,UR-SQH,"SkyUp Airlines, opf Sun Air Company",0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
15-Apr-23,2023,Airbus A330-343E,Airbus,HZ-AQ30,Saudi Arabian Airlines,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
16-Apr-23,2023,Antonov An-72-100D,Antonov,ST-PRM,Sudan Police Air Wing,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
16-Apr-23,2023,Ilyushin Il-76TD,Ilyushin,ST-APS,Kush Aviation,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
16-Apr-23,2023,Ilyushin Il-76TD,Ilyushin,ST-EWD,Kush Aviation,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
16-Apr-23,2023,Ilyushin Il-62M,Ilyushin,ST-PRA,Sudan Government,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
16-Apr-23,2023,Saab 340A,Saab,TG-TAI,TAG Airlines,0,Flores-Mundo Maya International Airport (FRS),sub,Mechanical Failure,0,0
17-Apr-23,2023,Beechcraft B300 King Air 350,Beechcraft,ZS-SYX,Motrade 518 Pty Ltd,0,Khartoum International Airport (KRT/HSSK),w/o,Miscellaneous,0,0
17-Apr-23,2023,Ilyushin Il-76TD,Ilyushin,EW-576TH,Belcanto Airlines,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-74-200,Antonov,ST-PRD,Sudan Government,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-32B,Antonov,7710,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-26B-100,Antonov,7718,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-12BK,Antonov,9966,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-12BK,Antonov,9977,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-12BK,Antonov,9933,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
17-Apr-23,2023,Antonov An-12BP,Antonov,9988,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
19-Apr-23,2023,Boeing 737-33A (SF),Boeing,PK-YGW,Asia Cargo Airlines,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Beechcraft 200 Super King Air,Beechcraft,LV-WPM,Flytec SA,0,"Salta-Martín Miguel de Güemes International Airport, SA (SLA)",sub,Undetermined,0,0
21-Apr-23,2023,Ilyushin Il-76TD,Ilyushin,ST-BDN,Badr Airlines,0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Antonov An-32B,Antonov,7709,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Antonov An-30,Antonov,7708,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Antonov An-26,Antonov,7777,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Antonov An-26,Antonov,7705,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Antonov An-12BP,Antonov,-,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum International Airport (KRT),w/o,Miscellaneous,0,0
21-Apr-23,2023,Airbus A320-214,Airbus,B-LPI,Hong Kong Airlines,0,Hong Kong FIR,non,Turbulence,0,0
22-Apr-23,2023,Cessna 208 Caravan I,Cessna,5X-ASI,"Airfast, lsf Air Serv",0,Obaye Airstrip (FZNQ),sub,Pilot Error,0,0
22-Apr-23,2023,Boeing 777-223ER,Boeing,N770AN,American Airlines,0,over Atlantic Ocean,non,Turbulence,0,0
23-Apr-23,2023,Saab 340A (F),Saab,VH-KDK,Pel-Air,0,"114 km ENE of Cobar, NSW",sub,Mechanical Failure,0,0
26-Apr-23,2023,Boeing 777-233LR,Boeing,C-FIUF,Air Canada,0,"Sydney-Kingsford Smith International Airport, NSW (SYD) ?",sub,Bird Strike,0,0
28-Apr-23,2023,Gulfstream G500,Gulfstream,N507GD,General Dynamics Corp,0,"near Washington-Dulles International Airport, VA (IAD/KIAD)",non,Miscellaneous,0,0
4-May-23,2023,Boeing 787-8 Dreamliner,Boeing,CC-BBF,LATAM Airlines Chile,0,Bogotá-Eldorado Airport (BOG/SKBO),sub,Miscellaneous,0,0
5-May-23,2023,Airbus A321-231 (WL),Airbus,N921US,American Airlines,0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub,Pilot Error,0,0
6-May-23,2023,Boeing 747-428F,Boeing,N580UP,UPS Airlines,0,Tokyo-Narita International Airport (NRT/RJAA),sub,Undetermined,0,0
9-May-23,2023,Cessna 208 Caravan 675,Cessna,PK-HVG,Dimonim Air,0,Yabi Airstrip,sub,Undetermined,0,0
11-May-23,2023,Embraer ERJ-175LR,Embraer,N88331,"United Express, opb Mesa Airlines",0,"near New Orleans, LA",unk,Turbulence,0,0
11-May-23,2023,Cessna 208B Grand Caravan,Cessna,PK-NGA,Nasional Global Aviasi,0,Fentheik Airstrip,sub,Undetermined,0,0
11-May-23,2023,Hawker 900XP,Hawker,PK-LRU,Angkasa Super Services,0,Maleo Airport (MOH),sub,Mechanical Failure,0,0
12-May-23,2023,Cessna 208B Grand Caravan,Cessna,5X-RBR,Bar Aviation,0,Kampala-Kajjansi Airfield (HUKJ),w/o,Miscellaneous,0,0
14-May-23,2023,Boeing 747-4R7F,Boeing,LX-OCV,Cargolux,0,Luxembourg-Findel Airport (LUX),sub,Mechanical Failure,0,0
16-May-23,2023,de Havilland Canada DHC-6 Twin Otter 300,de Havilland Canada,8Q-TAQ,Trans Maldivian Airways,0,Vommuli Water Aerodrome,sub,Pilot Error,0,0
18-May-23,2023,Honda HA-420 HondaJet,Honda,N255HJ,Upfrunt Services LLC,0,"Summerville Airport, SC (KDYB)",w/o,Pilot Error,0,0
19-May-23,2023,Shorts SC.7 Skyvan 3A-100,Short,AF-519,Uganda Peoples Defence Force,0,near Kalongo Airstrip,w/o,Undetermined,0,0
26-May-23,2023,Beechcraft B300 King Air 350,Beechcraft,N680CB,Dalks Leasing Inc,0,"Melbourne, FL",min,Undetermined,0,0
30-May-23,2023,Bombardier BD-100 Challenger 350,Bombardier,LN-JHH,Sundt Air,0,Dundee Airport (DND/EGPN),sub,ATC/Pilot Miscommunication,0,0
1-Jun-23,2023,Airbus A320-232,Airbus,N479UA,United Airlines,0,"near Houston, TX",non,Turbulence,0,0
1-Jun-23,2023,Boeing 737-924ER (WL),Boeing,N28457,United Airlines,0,"near Chicago, IL",non,Turbulence,0,0
5-Jun-23,2023,Boeing 737-8CT (WL),Boeing,C-GWSX,WestJet,0,"Calgary International Airport, AB (YYC/CYYC)",sub,Miscellaneous,0,0
15-Jun-23,2023,Boeing 777-336ER,Boeing,G-STBL,British Airways,0,over Bay of Bengal,non,Turbulence,0,0
19-Jun-23,2023,Boeing 787-9 Dreamliner,Boeing,9V-OJF,Scoot,0,Seoul-Incheon International Airport (ICN/RKSI),sub,Mechanical Failure,0,0
21-Jun-23,2023,Airbus A320-214,Airbus,OO-SNI,Brussels Airlines,0,Vilnius Airport (VNO/EYVI),sub,Mechanical Failure,0,0
24-Jun-23,2023,Boeing 777-367ER,Boeing,B-KPQ,Cathay Pacific Airways,0,Hong Kong-Chek Lap Kok International Airport (HKG/VHHH),min,Mechanical Failure,0,0
26-Jun-23,2023,ATR 72-600 (72-212A),ATR,PR-PFD,Imetame Metalmecanica Ltda,0,"Telêmaco Borba, PR (SSVL)",sub,Miscellaneous,0,0
28-Jun-23,2023,Boeing 717-2BD,Boeing,N955AT,Delta Air Lines,0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub,Maintenance ,0,0
28-Jun-23,2023,Boeing 777-236ER,Boeing,G-YMML,British Airways,0,near Beijing,non,Turbulence,0,0
3-Jul-23,2023,Cessna 208B Supervan 900,Cessna,N716MM,Arne Aviation LLC,0,"Suffolk Executive Airport (KSFQ), Suffolk, VA",sub,Pilot Error,0,0
6-Jul-23,2023,Antonov An-2R,Antonov,RA-02241,Aircompany Parma,0,"near Chuvashi village, Kirovo-Chepetsky district, Kirov region",sub,Mechanical Failure,0,0
8-Jul-23,2023,Antonov An-2R,Antonov,SE-KCE,Aviatörsföreningen Antonov 2,0,Vårgårda,sub,Pilot Error,0,0
11-Jul-23,2023,Embraer EMB-120 Brasilia,Embraer,6O-AAD,Halla Airlines,0,Mogadishu Aden Adde International Airport (MGQ),w/o,Miscellaneous,0,0
12-Jul-23,2023,Airbus A320-214 (WL),Airbus,N249NV,Allegiant Air,0,"NE of St. Petersburg, Florida",non,Turbulence,0,0
17-Jul-23,2023,Boeing 747-412F,Boeing,OE-LRG,Challenge Airlines,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub,Miscellaneous,0,0
17-Jul-23,2023,Boeing 757-23A (SF),Boeing,N918FD,FedEx Express,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub,Miscellaneous,0,0
17-Jul-23,2023,Cessna 208B Grand Caravan,Cessna,5Y-RNA,Aero Jet Aviation Ltd,0,Walgak Airstrip,sub,Pilot Error,0,0
20-Jul-23,2023,Airbus A321-211,Airbus,C-GYFM,Air Canada Rouge,0,"9,3 km N of Toronto-Pearson International Airport, ON (YYZ)",sub,Turbulence,0,0
22-Jul-23,2023,Airbus CC-150 Polaris (A310-300),Airbus,15003,Royal Canadian Air Force - RCAF,0,Guam-Andersen AFB (UAM/PGUA),sub,Miscellaneous,0,0
23-Jul-23,2023,Airbus A320-214,Airbus,N229NV,Allegiant Air,0,"near Melbourne, FL",non,Pilot Error,0,0
24-Jul-23,2023,Boeing 767-332ER (WL),Boeing,N189DN,Delta Air Lines,0,W of Milan,min,Pilot Error,0,0
24-Jul-23,2023,Boeing 737-7H4 (WL),Boeing,N279WN,Southwest Airlines,0,"East Palestine, OH",non,Turbulence,0,0
28-Jul-23,2023,Boeing 737-924ER (WL),Boeing,N77431,United Airlines,0,"450 km E of Myrtle Beach, SC, USA",non,Turbulence,0,0
29-Jul-23,2023,Boeing 767-322ER (WL),Boeing,N641UA,United Airlines,0,"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)",sub,Pilot Error,0,0
29-Jul-23,2023,Beechcraft B300 King Air 350,Beechcraft,C-GTEM,Alkan Air,0,"Vancouver International Airport, BC (YVR/CYVR)",sub,Miscellaneous,0,0
3-Aug-23,2023,Boeing 767-322ER (WL),Boeing,N676UA,United Airlines,0,"Washington-Dulles International Airport (IAD/KIAD), Chantilly, VA",sub,Maintenance ,0,0
7-Aug-23,2023,Cessna 208B Grand Caravan,Cessna,ZS-JEM,Federal Airlines,0,Arathusa Safari Lodge (FAAR),non,Mechanical Failure,0,0
7-Aug-23,2023,Boeing 737-8U3 (WL),Boeing,PK-GNM,Garuda Indonesia Airways,0,Banjarmasin-Sjamsudin Noor Airport (BDJ/WAOO),sub,Miscellaneous,0,0
