Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
15-Apr-21,2021,Learjet 35A,Learjet,N354EF,Med Air Inc,0,"Colorado Springs Airport, CO (COS/KCOS)",sub,Pilot Error,0,0
16-Apr-21,2021,Beechcraft B99 Airliner,Beechcraft,N991AK,Lake Clark Air,0,"Chignik-Lagoon Airport, AK (KCL)",sub,Pilot Error,0,0
18-Apr-21,2021,Learjet 25B,Learjet,XB-PIZ,Unknown,0,Toluca-Licenciado Adolfo López Mateos International Airport (TLC),sub,Pilot Error,0,0
26-Apr-21,2021,Cessna 208B Grand Caravan EX,Cessna,N143CA,Haugland Group Aviation LLC,0,"near Laceyville, PA",sub,Pilot Error,0,0
1-May-21,2021,Cessna 550 Citation II,Cessna,N803SC,STB Aviation LLC,0,"Charleston Executive Airport, SC (KJZI)",sub,Miscellaneous,0,0
5-May-21,2021,Gulfstream G150,Gulfstream,N22ST,TLD Aviation I LLC,0,"Ridgeland Airport, SC",sub,Pilot Error,0,0
6-May-21,2021,Beechcraft B200GT King Air 250,Beechcraft,VT-MPQ,Government of Madhya Pradesh,0,Gwalior Airport (GWL),sub,Pilot Error,0,0
10-May-21,2021,ATR 72-600 (72-212A),ATR,B-17010,Uni Air,0,Nangang Island-Matsu Nangan Airport (LZN),sub,Pilot Error,0,0
12-May-21,2021,Boeing 737-8AS (WL),Boeing,EI-EGA,Ryanair,0,Alicante Airport (ALC/LEAL),non,Miscellaneous,0,0
12-May-21,2021,Swearingen SA226-TC Metro II,Swearingen,N280KL,Key Lime Air,0,"5,9km N of Denver-Centennial Airport, CO (APA)",sub,Pilot Error,0,0
13-May-21,2021,Cessna 208B Grand Caravan,Cessna,CC-DBB,Skydive Andes,0,Melipilla-Los Cuatro Diablos Airport (SCME),unk,Mechanical Failure,0,0
19-May-21,2021,Hawker 800,Hawker,XB-R..,private,0,"Sayaxché, Petén",w/o,Miscellaneous,0,0
20-May-21,2021,IAI 1125 Astra,IAI,N388WA,private,0,"Parque Laguna del Tigre, San Andrés, Petén",sub,Miscellaneous,0,0
21-May-21,2021,Boeing 737-7H4,Boeing,N289CT,Southwest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",min,Pilot Error,0,0
21-May-21,2021,Antonov An-2R,Antonov,RA-33373,Utair,0,Laytamak Airstrip,sub,Mechanical Failure,0,0
28-May-21,2021,Boeing 767-38E,Boeing,HL7528,Asiana Airlines,0,"over Yesan , Chungcheongnam-do",non,Pilot Error,0,0
28-May-21,2021,Boeing 737-823 (WL),Boeing,N834NN,American Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub,Pilot Error,0,0
30-May-21,2021,ATR 72-500 (72-212A),ATR,SX-THR,Sky Express,0,Alexandroupolis-Demokritos Airport (AXD),sub,Mechanical Failure,0,0
2-Jun-21,2021,Beechcraft 1900C,Beechcraft,N219VP,Alpine Air Express,0,"Denver International Airport, CO (DEN/KDEN)",sub,Pilot Error,0,0
3-Jun-21,2021,Cessna 208B Grand Caravan EX,Cessna,PK-DPT,Dabi Air Nusantara,0,Ilaga Airport (ILA),w/o,Fire,0,0
4-Jun-21,2021,Honda HA-420 HondaJet,Honda,N10XN,GF Aviation LLC,0,"Atlanta-Cobb County-Mc Collum Field, GA (KRYY)",sub,Maintenance ,0,0
5-Jun-21,2021,Cessna 208B Supervan 900,Cessna,N103AN,Paraclub Wiener Neustadt,0,Wiener Neustadt West Air Base,sub,Mechanical Failure,0,0
7-Jun-21,2021,Boeing 737-8AL (WL),Boeing,VT-TGE,Vistara,0,W of Kolkata,non,Turbulence,0,0
13-Jun-21,2021,Boeing 737-8AS (WL),Boeing,EI-EVE,Ryanair,0,Málaga-Costa del Sol Airport (AGP/LEMG),non,Miscellaneous,0,0
14-Jun-21,2021,ATR 72-600 (72-212A),ATR,VT-IYX,IndiGo Airlines,0,Hubli Airport (HBX),sub,Pilot Error,0,0
18-Jun-21,2021,Boeing 787-8 Dreamliner,Boeing,G-ZBJB,British Airways,0,London Heathrow Airport (LHR),sub,Maintenance ,0,0
21-Jun-21,2021,Rockwell Sabreliner 65,Rockwell,XB-OXV,private,0,within Jesús María Semprún,w/o,Miscellaneous,0,0
23-Jun-21,2021,Gulfstream G280,Gulfstream,M-ISTY,INEOS Aviation,0,Genève-Cointrin Airport (GVA/LSGG),sub,Pilot Error,0,0
24-Jun-21,2021,Antonov An-2R,Antonov,RA-01430,private,0,"3,5 km W of Zaboyskiy, Slavyansky district",sub,Pilot Error,0,0
25-Jun-21,2021,Airbus A321-231,Airbus,N926UW,American Airlines,0,"New Orleans, Louisiana",non,Turbulence,0,0
25-Jun-21,2021,Shorts 360-300,Short,N970AA,Air Cargo Carriers,0,"Las Vegas-McCarran International Airport, NV (LAS)",sub,Pilot Error,0,0
25-Jun-21,2021,Cessna 208B Supervan 900,Cessna,PH-FST,Skydive Teuge,0,2 km W of Teuge Airport,sub,Maintenance ,0,0
